"17-AAG","AEW541","AZD0530","AZD6244","Erlotinib","Irinotecan","L-685458","LBW242","Lapatinib","Nilotinib","Nutlin-3","PD-0325901","PD-0332991","PF2341066","PHA-665752","PLX4720","Paclitaxel","Panobinostat","RAF265","Sorafenib","TAE684","TKI258","Topotecan","ZD-6474"
1.9816,0.4341,0.7688,1.1293,1.1257,NA,0.1163,0.2072,0.549,NA,0.3313,1.8902,NA,0.2549,0.225,0.3126,2.6619,2.7717,0.9254,0,0.1953,0.5431,1.1709,1.1032
2.3346,0.7416,0.2272,0.02408,0.03604,2.9901,0,0.2085,0.1227,0.1142,0.08275,0.5205,0,0.3596,0.02301,0,5.2187,4.0549,1.2001,0.8032,0.6334,0.3707,3.0968,0.3283
1.9673,0.7664,0.7234,0.07562,0.05132,2.342,0.107,0.2282,0,0.5619,0.3907,0.02419,0.2948,0.4279,0.04829,0.5288,2.8757,3.6326,0.848,0.2473,1.4239,0.9151,2.0789,1.206
3.6005,0.7917,0.2739,0.3316,0.2287,3.9651,0,0.6428,0.05,0.2486,0.2397,0.01505,0.01077,0.2733,0.02801,0.2072,5.9369,4.8071,0.9778,0.3994,0.7283,0.5918,3.9107,0.6998
2.7457,0.868,1.475,3.1418,0.3955,3.4461,0,0.4507,0.2992,0.3488,0.8056,2.9241,0.3863,0.468,1.0773,1.8659,5.3756,3.7393,2.5702,0.7186,1.4749,0.6195,3.2015,0.6038
5.2371,1.2612,1.4715,1.4402,0.473,5.873,2.1438,0.9751,1.0422,1.2823,0.8865,1.3118,1.6378,3.7305,2.3361,1.2475,7.3422,5.957,2.3549,1.989,5.9893,1.3471,5.916,2.052
2.8606,0.3942,1.1993,1.0097,0.8498,NA,0.1327,0.8633,0.432,0.5156,0.6081,1.2996,0.9828,0.1087,0.8825,0.1153,5.6996,3.7515,0.6876,0.08576,0.5406,0.2191,1.4964,1.5655
2.603,0.3032,0.3462,1.1426,0.1756,1.8847,0,0.1664,0.2054,0,0.4608,1.3384,0.5503,0.7844,0.3604,0,5.3135,3.8051,1.3524,0.04339,0.4276,0.7372,1.5358,0.6306
2.2019,2.3798,0.3061,0.7486,0.4546,NA,0.6133,1.3367,0.2177,0.8476,0.3314,0.4387,0.8691,2.1489,0.8946,0.06617,5.5617,4.5845,1.6543,0.7432,1.8487,1.145,3.1123,1.016
4.3378,2.0396,1.4458,0.1338,0.9251,5.5641,2.7093,0.3809,1.1878,1.7965,1.4534,0.8781,1.2261,1.8184,1.3201,1.3751,5.1909,6.0713,2.2879,2.8625,1.9472,2.0445,5.3652,2.6292
